id_marca;nombre
1;3D UP
2;A4Tech
3;Acer
4;Aerocool
5;Airis
6;Alcatel
7;Alfa Networks
8;AMD
9;Antec
10;APC
11;Apple
12;Approx
13;Archos
14;Arctic Cooling
15;Arctic Silver
16;Asrock
17;Asus
18;Avantree
19;Avermedia
20;Avrha Case
21;Axil
22;B-Move
23;Be quiet
24;Beat Collection
25;Belkin
26;Benq
27;Best Buy
28;BitFenix
29;BlackBerry
30;Bogo
31;bq Readers
32;Brigmton
33;Brother
34;Canon
35;Casio
36;Cherry
37;Cisco
38;Conceptronic
39;Connection
40;CoolBox
41;Cooler Master
42;cooltek
43;Corsair
44;Creative
45;Crucial
46;Cubot
47;D-LINK
48;Daewoo
49;Datel
50;DeepCool
51;Dell
52;Denon
53;Denver Electronics
54;Devolo
55;Dicota
56;Differo
57;Difox
58;Digitus
59;DMTech
60;Dragon
61;Duracell
62;Edimax
63;Emtec
64;Energy Sistem
65;Engel
66;Epson
67;Equip
68;EVGA
69;Foxconn
70;Fractal
71;Freecom
72;Fujifilm
73;Fujitsu
74;G.Skill
75;Gainward
76;Garmin
77;Gemini Devices
78;Generica
79;Genius
80;Giada
81;Gigabyte
82;GigaTV
83;GoClever
84;GoPro
85;Grammata
86;Hannspree
87;Hauppauge
88;Hercules
89;Hisense
90;Hitachi
91;Honeywell
92;HP
93;HTC
94;Huawei
95;I-JOY
96;iconBIT
97;Icy Dock
98;iGo
99;iiyama
100;Intel
101;Iomega
102;Iris
103;iRobot
104;Jiayu
105;JVC
106;KAOS
107;Kaspersky
108;Kensington
109;Kingston
110;Kloner
111;Kodak
112;Lacie
113;Lenovo
114;Leotec
115;Level One
116;LG
117;Lian-Li
118;Linksys
119;Liteon
120;LogiLink
121;Logitech
122;Lowepro
123;Mad Catz
124;McAfee
125;Metrologic
126;Microsoft
127;Monster
128;Mooster
129;Mophie
130;Motorola
131;MSI
132;Mustek
133;Mvision
134;Nanocable
135;Nanoxia
136;Natec
137;Netgear
138;Nevir
139;NGS
140;Nikon
141;Nintendo
142;Noctua
143;Noiseblocker
144;Nokia
145;NOX
146;NPG
147;Nvidia
148;NVSBL
149;Nyko
150;NZXT
151;OCZ
152;OEM
153;Oki
154;Olympus
155;One For All
156;Optoma
157;OVISLINK
158;Ozone
159;Packard Bell
160;Panasonic
161;Panda
162;Papyre
163;PARROT
164;Patriot
165;PcCableNet
166;PcComponentes.com
167;Philips
168;Phoenix
169;Pioneer
170;Plantronics
171;Playseat
172;Plextor
173;PNY
174;Point of View
175;Posiflex
176;PowerColor
177;Primux
178;Prolimatech
179;QNAP
180;QooPro
181;QOOPro
182;Rainbow
183;Razer
184;Revoltec
185;Ricoh
186;Riello
187;Rikomagic
188;Roccat
189;Rollei
190;Roxio
191;Salicru
192;Samsung
193;Sandisk
194;Sapphire
195;Satycon
196;ScreenLine
197;Scythe
198;Seagate
199;Seasonic
200;SENNHEISER
201;Sharkoon
202;Siemens
203;Silverstone
204;Solman
205;Sonfer
206;Sony
207;Soyntec
208;SPCinternet
209;Startech
210;Steelseries
211;Superlux
212;Sweex
213;SYMANTEC
214;Synology
215;Tacens
216;Tamrac
217;TARGUS
218;Taurus
219;Techair
220;Technisat
221;Thermalright
222;Thermaltake
223;Thrustmaster
224;TomTom
225;TooQ
226;Toshiba
227;TP-Link
228;Transcend
229;Traxdata
230;Tritton
231;Trust
232;Tt eSPORTS 
233;Tucano
234;Turtle Beach
235;Ubiquiti Networks
236;Unotec
237;Vant
238;Varios
239;Verbatim
240;Viewsonic
241;Wacom
242;Western Digital
243;WiFiSKY
244;Wolder
245;Woxter
246;X-Mini
247;Yamaha
248;Yarvik
249;Zaapa
250;Zalman
251;Zotac
252;Zowie
253;ZTE
